Handle,LevDistance,IntersectionalityScore,DDNADistance,APUScore,SADScore,GrantOwner,IPsShared
veritr5,2,0,0,0,1,0,1
rahuljayaraj789,7,2,0,0.1,1,0,0
lindabai02,1,4,0.29,0.11,0,0,1
wufantang,3,2,0.17,0.11,0,0,0.77
stengarl,3,4,0.22,0,0,0,0
bitekinga,3,2,0,0,1,0,1
askleone,2,3,0,0.26,1,0,0
kvojdj012,4,2,0,0.1,1,0,0
yaoshifo333,4,2,0,0.11,1,0,1
ngoctin123,3,2,0,0.1,0,0,0.14
zzaahz,2,3,0,0.16,1,0,0.33
greendavid0131,6,3,0,0,0,0,0
lalitv91,3,3,0.03,0.07,1,0,0
pcyone,2,4,0.41,0.33,0,0,0.77
hoangson123456,4,2,0,0.08,0,0,0
xiwater,2,2,0.12,0.05,1,0,0
lozanochaneydlcp,8,2,0,0,1,0,0
testnetlx1991,5,0,0,0,0,0,0
dcroote,2,3,0.53,0,0,0,0.5
katrienlauw82,6,2,0,0,1,0,0
pavelthai,3,2,0.29,0.13,0,0,0
springmusk026,6,3,0.24,0.18,0,0,0.25
denghuang63418,5,0,0,0,0.04,0,0
ronghuang82111,5,0,0,0,0.04,0,0
m4dardsektsust6,7,2,0,0,1,0,0
jiasi80415,4,0,0,0,0.04,0,0
minye68717,4,0,0,0,0.04,0,0
tharangaeth,4,1,0.37,0.1,1,0,0
lb1538813,4,2,0,0,1,0,0
srrrrrrrb,3,0,0,0,1,0,0.5
akomba,2,0,0.17,0,0,0,0.33
oatsad,2,0,0.06,0.1,1,0,0
rocknrolla77,2,4,0.33,0.1,0,0,0.15
ada19961021,4,1,0,0.1,1,0,0
shandakuriger,5,2,0,0,1,0,0
suzumiya2012,1,4,0.1,0,0,0,0.88
bundaumam,4,0,0,0.11,1,0,0
pythonpete32,4,4,0.53,0.16,0,0,0.04
atifchuhan,4,1,0.25,0.11,1,0,0.25
postertvi,3,2,0,0,1,0,0
bowni,1,0,0,0.1,0,0,1
acehu1974,4,4,0.33,0.13,1,0,0.67
thanhswp,2,2,0,0,1,0,0
amilibl,2,2,0,0.16,1,0,1
baolin86619,3,0,0,0,0.04,0,0
yuxi71415,3,0,0,0,0.04,0,0
muoilucky1993,5,3,0,0.16,1,0,0
vladyslava09,3,2,0,0.18,1,0,0
rongfei83512,5,0,0,0,0.04,0,0
coluko8,2,1,0,0,1,0,1
gantu88217,4,0,0,0,0.04,0,0
etzm,1,2,0.53,0.18,0,1,0.12
meiluan82919,4,0,0,0,0.04,0,0
melaniedavis,4,3,0,0,1,0,0
linggou62513,5,0,0,0,0.04,0,0
0x-gitcion,3,1,0.64,0,0,0,0.56
changshi95311,4,0,0,0,0.04,0,0
xucang98414,4,0,0,0,0.04,0,0
fanshuye,2,4,0.21,0.21,1,0,0.75
levinh05,2,2,0.25,0.26,0,0,0.07
sammyhossfeld51,7,2,0,0,1,0,0
prabhattiwarii241,6,2,0.18,0.11,1,0,0.17
rivanluo,2,2,0.14,0.16,0,0,0.67
ysj525,2,4,0,0.08,0.92,0,0.74
roamagus,3,2,0.04,0.03,1,0,0.75
theboldzoey,4,0,0,0,0,0,0
0xdreamtime,3,5,0.27,0.15,1,0,0
n2ka,1,1,0,0.13,1,0,0.1
xachere,2,0,0.11,0,1,0,0
damienlee09,2,0,0,0,1,0,1
otzf291435,5,2,0.25,0,1,0,0
newyeai,3,2,0.4,0,1,0,1
anisofi,2,2,0.46,0.11,0,0,1
0xyms,1,2,0,0.05,1,0,0.86
0xtjm,2,3,0.18,0.16,1,0,0
kale5195,3,3,0.12,0,1,0,0
qcuong98,3,1,0.17,0,0,0,0.5
sin0shin,2,4,0.05,0.08,1,0,0.89
analee0418,4,1,0.26,0,0,0,0
genaachu1,1,4,0.08,0.1,1,0,0
consequent532523,9,0,0.12,0,1,0,1
leviotaku,3,0,0,0,1,0,1
mahi070,1,3,0,0,1,0,0
aishappyy,3,4,0,0,1,0,0
hyperyugi,3,2,0.29,0.05,0,0,0
jr-zeal,2,3,0.4,0.07,0,0,0.25
jesse55262,3,2,0,0.1,1,0,0
alexisala,2,1,0,0.1,1,0,0
zeromagic,3,2,0.23,0,0,0,0.11
girijoma,3,3,0.5,0.11,0,0,0.75
multyafka,3,3,0.11,0.15,1,0,0
acidade,2,3,0.43,0,0,0,0.75
bejanhay,2,2,0.12,0,1,0,0
carllylexanthe,5,0,0,0,1,0,0
arzoal,2,2,0,0.11,1,0,1
leenkindy,3,1,0,0,1,0,1
priceotwell,4,0,0,0,1,0,0
0xlilychiu,4,3,0.44,0,1,0,0
shaimaranbir,3,2,0,0,0,0,0
spease4,1,0,0,0.1,1,0,0
roswellaaaa,3,0,0,0,1,0,1
fuckuniswap,4,3,0,0.13,1,0,1
chartartj,3,2,0.4,0.08,1,0,0
luo247,2,2,0.2,0,1,0,1
buildcma,2,1,0,0.05,1,0,1
yinmengsheng92,5,4,0,0.23,1,0,0.67
watsonxxy,3,NA,0,0,1,0,1
qiqiyahhh,4,4,0.11,0,1,0,0.17
comanyeed,2,1,0,0,1,0,0
kfdffvf,3,1,0,0,1,0,0.33
zubokroman13,2,1,0.04,0.05,1,0,0
shylendra73,4,3,0,0.05,0,0,0.08
kemzymoses,3,1,0,0.08,0,0,1
psymanity,3,3,0,0.11,0,0,0
spease5,1,0,0,0.1,1,0,0
vine444,3,3,0.2,0.11,1,0,0
melvinveronica54,5,2,0,0,1,0,0
qiulu89814,5,0,0,0,0.04,0,0
canghui71419,4,0,0,0,0.04,0,0
gujia79912,4,0,0,0,0.04,0,0
stainlee45,4,2,0,0.13,1,0,1
kizsda8,3,0,0,0.1,1,0,0
lucksa9,2,0,0,0.1,1,0,0
guoguofu,2,4,0,0.16,1,0,1
jziss7,2,0,0,0.1,1,0,0
colorghost,3,1,0,0,0,0,0
qiaolan72714,4,0,0,0,0.04,0,0
oxmaad,2,4,0.21,0.1,1,0,0.67
yatgithuby,3,2,0,0,1,0,1
samgeall,2,3,0.5,0,1,0,0
guoxie93618,4,0,0,0,0.04,0,0
jiben93113,4,0,0,0,0.04,0,0
jizhuo75915,5,0,0,0,0.04,0,0
yuju71411,3,0,0,0,0.04,0,0
zhongbi99815,4,0,0,0,0.04,0,0
xiangguan84115,6,0,0,0,0.04,0,0
pannns6,2,0,0,0.1,1,0,0
chaneljr,2,0,0.25,0,1,0,0
dcon24,2,1,0,0,1,0,1
wilsonas3,3,0,0,0.08,1,0,0
nolong111,2,1,0,0.05,1,0,0.11
asdddq1,3,1,0,0.1,1,0,0
wong257,2,4,0.03,0,1,0,0.76
henrisontao,4,4,0.24,0,0,0,0
yujianyaru,3,1,0.23,0,1,0,1
srtemis,1,1,0.3,0.13,0,0,0.54
shaonan72412,4,0,0,0,0.04,0,0
jixing66215,4,0,0,0,0.02,0,0
weipi62518,4,0,0,0,0.04,0,0
qiangaqiang,3,4,0.15,0.29,1,0,0.65
sursajisa,2,2,0,0.1,1,0,0.5
hghbhh,2,0,0,0.15,0,0,1
shakelamm,3,NA,0,0,1,0,1
obentogc,3,4,0,0,1,0,1
gekkoso,2,2,0,0.13,0,0,0
songjiang-sh,3,1,0.2,0,1,0,1
jas336,2,1,0.43,0,1,0,0
leelihuali,3,3,0.25,0.13,1,0,1
github-dheeraj,5,0,0,0,0,0,0
andymankiw1,1,4,0,0.11,1,0,1
scorpic1,2,3,0,0.13,0,0,0.5
xingyuli20,3,2,0.11,0,0,0,0.29
phylliseva4,4,0,0,0,1,0,0
marceauje,3,1,0.12,0.05,1,0,1
ermirhoxha729,5,0,0,0,1,0,1
sayun99,2,1,0,0,1,0,1
yuren525,3,2,0.07,0.31,0,0,0.14
padigists,3,3,0.33,0.1,1,0,1
puhe70418,3,0,0,0,0.04,0,0
ichicoin,2,3,0.21,0.1,1,0,0
zaixis-team,3,2,0.29,0.15,1,0,0.67
diaofen90519,4,0,0,0,0.04,0,0
rongjiu95817,3,0,0,0,0.02,0,0
sasanjavadi111,6,2,0.27,0.1,1,0,0
joy52087,3,1,0,0,1,0,0
qiaomouga662,5,2,0.14,0,1,0,1
pppeterpan,2,1,0.3,0,0,0,0.12
bianping66716,5,0,0,0,0.04,0,0
charming-lin,4,1,0,0.05,1,0,0
rishurishad147,5,0,0,0.1,1,0,0
berdamar,2,0,0.1,0,0,0,0
skullolsen11,5,1,0,0,1,0,0
aranna0572,3,1,0,0,1,0,0
luckyami-ae,4,1,0,0,1,0,0
krishna911,2,4,0.33,0.1,0,0,0
ps96line,3,3,0,0.08,0,0,0.25
yurari1859,4,2,0.14,0.2,1,0,0
bob19494954,5,2,0,0.11,1,0,1
lobore2131,4,2,0.14,0.15,0,0,0
lucianodeangelo,5,4,0.36,0.07,1,0,0
tianbiandeyun12332,7,3,0.43,0.26,1,0,0.38
iangely,2,3,0.05,0.13,0,0,0
boonpico,2,1,0,0,1,0,1
alalii,2,4,0,0.15,1,0,0.67
sehrgut291,4,0,0,0.08,1,0,1
0xmoth,2,4,0.16,0.18,1,0,0
kaidlyn3,2,0,0.6,0,1,0,0
keynes0209,3,1,0,0.13,1,0,0
andrrreyiv,4,3,0,0.11,1,0,0
raj2s,2,1,0.06,0,1,0,0
peterulpp,3,NA,0,0,1,0,0
cryptologds,2,1,0,0.07,1,0,0
honest241,2,2,0.22,0.11,0,0,0.02
bradymck,3,4,0.52,0.29,0,1,0.11
vonniealger4086,7,1,0,0.03,1,0,0
argynmed,3,2,0,0.08,1,0,0
airdr-a,2,1,0.17,0,0,0,0
cross990,3,0,0,0,1,0,1
rei919,2,0,0,0,1,0,1
lukee247,3,2,0.17,0.2,0,0,0.89
vkhnychenko,4,2,0,0.28,0,0,0
upupandaway1,5,3,0,0,1,0,0
hachilove,2,4,0.35,0,1,0,0
uydakerryeh,5,1,0,0,1,0,0
danpi3141,3,3,0.11,0.13,0,0,0.12
0xlany,2,3,0.29,0.06,1,0,0
zaccc666,2,1,0,0,0,0,0
oleole-hash,4,1,0.3,0.2,1,0,1
russawmcivanpt,6,1,0,0,1,0,0
xietao12,2,3,0.15,0.1,0,0,0.62
leipiter,3,1,0.54,0,1,0,1
evanoffuslouieub,8,1,0,0,1,0,0
abavilovich,4,4,0.12,0.21,1,0,0.33
pancopa,3,4,0.08,0.11,1,0,0
yingsuyang,3,4,0,0.08,1,0,1
angus00325,3,2,0,0.1,1,0,0
santugml,3,1,0,0.13,1,0,0
seaholmbpisabellsu,8,1,0,0,1,0,0
quokaaak,2,4,0.23,0,0,0,0.73
delbin,2,3,0.12,0.1,0,0,0
bassanizrdwayneqe,9,1,0,0,1,0,0
eliheuer,2,3,0,0,0,0,0
mgsre1999,3,4,0.1,0,0,0,0.03
lioniangela,4,1,0,0,0,0,0
tawhid904,4,2,0,0.11,0,0,1
noinif,2,0,0.08,0.11,0,0,0.56
index0878,2,1,0,0.08,1,0,0
toplinea1,3,2,0.12,0,1,0,1
acceu4616,4,0,0.17,0.21,1,0,0
nikhilverma360,6,0,0,0,0,0,0.11
larryone810,4,2,0.24,0.15,1,0,0.75
fishbaughzmrodrickcv,11,1,0,0,1,0,0
svetasobaka,4,3,0.12,0.15,1,0,0
prolificmeta,4,1,0.47,0,1,0,0
mariusz0pk,1,0,0.2,0,1,0,0
ferangoh,3,2,0,0,1,0,0.87
chriswilferd,4,1,0,0,0,0,0
itsbarbas,3,0,0,0,1,0,0
hootsquparisjf,6,1,0,0,1,0,0
debasis00,2,3,0.05,0.13,1,0,0.09
starkfallen,3,2,0.05,0.23,1,0,0.33
hugofra,2,1,0,0,1,0,0
adamama2,2,2,0,0.11,1,0,0
volodka28011,5,1,0,0.08,1,0,0
vandeheyijdexterfl,10,1,0,0,1,0,0
angie0032,3,2,0,0.11,1,0,0
forlifehung,4,1,0,0,1,0,0
epconk,2,1,0,0,1,0,1
ping986,2,4,0,0.21,1,0,0.5
ozma0604,4,3,0.18,0.18,1,0,0
new-adag,2,4,0.12,0.21,1,0,0
cynthia-cwang,5,4,0.19,0,0,0,0.84
mehdishok,2,4,0.18,0,1,0,0.33
derder9,2,3,0.05,0.03,1,0,0
rockygp,2,4,0.24,0.18,1,0,0
jim99gmail,3,NA,0,0,1,0,1
chkourisqroseleeus,9,1,0,0,1,0,0
yakovshtul,5,2,0.21,0.03,0,0,0
aghama,2,NA,0,0,0,0,0.94
arthurdxtw,3,1,0,0,1,0,0
albinbin221,4,1,0,0.1,1,0,0
niubite,2,4,0.25,0.08,0,0,0.33
parronuqtamekabj,8,1,0,0,1,0,0.5
fxffff,2,4,0,0.06,1,0,0
adrian22353,4,1,0,0.08,1,0,0
yktscbxsnice,6,2,0,0.08,1,0,0
leonid009,2,0,0.06,0.05,1,0,0
onimotsu,3,1,0.12,0.06,1,0,0
zpmanr,2,4,0.1,0.15,0,0,0.44
zhaohongtaobitant,6,0,0,0,1,0,0.75
mirra-kro,1,3,0.04,0.2,1,0,0
marty36263,3,2,0,0.1,1,0,0
yopan11r,2,1,0,0,1,0,0
arnold02522,4,1,0,0.1,1,0,0
bongonatty,4,2,0.14,0.16,1,0,0
ballinbaby,3,0,0.31,0,1,0,1
tinggtingmer,4,1,0.08,0,1,0,0.5
quentin11963,3,1,0,0.1,1,0,0
semioncheck7,5,1,0,0.15,1,0,0
abiola-zeenat,6,NA,0,0,0,0,1
0xosprey,2,4,0.48,0.11,0,0,0.3
y0shijp,2,2,0,0.11,1,0,0
xotabys,3,1,0.21,0,1,0,0
recursivecacao,5,4,0.5,0.28,0,0,0
damonken,2,1,0,0,1,0,0
seven1771,3,4,0.11,0.13,1,0,0
yellow-35,3,3,0.06,0.15,1,0,0
weishenri,3,2,0,0,1,0,1
deberrye23,4,2,0,0,1,0,1
auberon23,2,1,0,0.1,1,0,0
daitoyoshi,3,3,0,0.26,1,0,0
andysleep,2,3,0.06,0.16,0,0,0
coinsmith-no1,5,4,0.1,0,1,0,0.42
kiritodais,4,3,0.2,0.15,0,0,0
nazmedia,2,0,0,0.1,0,0,0
centannii,3,1,0,0,0,0,0.2
agench977,4,1,0,0.13,1,0,0
jaykrat,1,3,0.43,0.05,0,0,0.25
pk99gmail,3,1,0,0,1,0,1
seanwu307,3,0,0,0.05,1,0,1
clew5643,3,1,0.2,0,0,0,0
yukit0n,3,4,0.18,0.1,1,0,0
idhilmirijana,6,1,0,0,1,0,0
18580764418,5,0,0,0,0,0,0.5
hoommike,3,0,0.25,0,1,0,1
myajune,3,4,0.06,0.13,1,0,0
7998l2a3,2,2,0.29,0.16,1,0,0
naijatechgal,5,NA,0,0,1,0,0.33
urfinjs,3,3,0,0.26,0,0,0.5
nur122,1,2,0.13,0,0,0,0
negarabe5,3,1,0,0,1,0,0
photograph35354,5,0,0.53,0,1,0,1
githubga14s,3,4,0.12,0,1,0,1
tt0003,2,0,0.17,0,1,0,1
kaixintangao,4,3,0.4,0.15,1,0,1
zhangtgithub,3,3,0.4,0.11,0,0,0.3
avah919,3,0,0,0,1,0,1
karaokeli,3,4,0.18,0.29,1,0,0.71
nafeesa-21,3,NA,0,0,0,0,1
17316781969,5,0,0,0,0,0,0
hrmo25,1,3,0.61,0.08,1,0,0
feiye00,3,1,0.66,0.08,1,0,0.4
manthan44,3,1,0,0.15,0,0,0.05
yiyun2003,3,0,0,0.03,1,0,0.33
ck2018,2,4,0.07,0,0,0,0.91
lalanim1,2,2,0,0,1,0,1
bjgordon,2,4,0.06,0.28,0.18,0,0.66
vikingukr,3,3,0.25,0.13,1,0,0
87272200,3,3,0.2,0.21,1,0,0
y1060165121,4,3,0.36,0,0,0,0
samusnano1988,4,3,0.29,0,1,0,0.4
ahadul49,3,3,0.1,0.2,0,0,0.8
a189296,3,3,0.12,0.2,0,0,0.59
shaxuan19,3,0,0,0,1,0,1
gregisvan7,4,1,0,0.11,1,0,0
tudouki732,4,3,0,0,1,0,1
bingjue007,1,4,0.29,0,0,0,0.75
new-dmgb,3,4,0.12,0.23,1,0,0
saycya,2,1,0,0,1,0,0
baaga9,1,3,0,0.05,0,0,0.07
sashatsereteli,6,2,0.31,0,0,0,0
gioialele,3,3,0,0,1,0,0
thebenmeadows,5,5,0.25,0.08,0,0,0
yqkbmpqzb,5,2,0,0,1,0,1
rajesh92k1,1,2,0.47,0.16,0,0,0
tomaszcrypto7,4,1,0.17,0,1,0,0
granara,2,2,0,0,1,0,1
caibaba66,3,0,0,0.11,1,0,1
richardlcdlee,4,1,0.24,0,0,0,0.73
paigexu522,4,0,0.33,0.08,1,0,0
rickieevelyn,5,1,0,0.07,1,0,0
lucianohecox,4,1,0,0.07,1,0,0
kirkgrizzle,3,1,0,0.05,1,0,0
darrinschreffler,6,1,0,0.07,1,0,0
juanrodri0999,6,3,0.25,0.1,0,0,0.46
huizhitongcheng,6,2,0.12,0.1,1,0,1
oluwakemiadewusi,5,NA,0,0,1,0,1
diversant777,5,2,0,0.13,1,0,0
sky0gmail,3,NA,0,0,1,0,1
adoranrad,3,2,0,0,1,0,1
thasint,2,1,0.17,0.2,1,0,0
burnburna,3,0,0.4,0.08,1,0,1
lonniecrochet,5,1,0,0.07,1,0,0
dillonrosales,4,2,0,0.07,1,0,0
josiahdahlberg,6,2,0,0.07,1,0,0
audrtyw,2,2,0.28,0.1,0,0,0.67
kasarole,2,3,0,0.26,1,0,0
sahrl100,2,1,0.19,0,0,0,0.14
wems5,2,NA,0,0,1,0,1
bickyrauniyar,5,2,0.12,0.18,0,0,0
hodlerus1,1,3,0.14,0,1,0,0
baxw824,2,4,0.12,0,0,0,0.43
ismaelks,2,5,0.54,0,0,0,0
akywev,3,4,0.07,0,0,0,0.5
xiangnanli,3,2,0.02,0.13,0,0,0.6
morawyn,2,2,0,0,1,0,0
quanghiep1906,5,4,0.52,0,0,0,0.03
patratwitter,4,4,0.52,0.11,0,0,0
sammonsjcrickieha,9,1,0,0,1,0,0
108665792,4,2,0,0.11,1,0,0.27
luntik-group,4,3,0.2,0.08,1,0,1
kelly-christelle,7,0,0,0.05,1,0,0
steimercgngocml,8,1,0,0,1,0,0
samueledefilippo,7,0,0,0,1,0,0
tammyelliot,3,0,0,0,1,0,0
amiksukiasyan,6,0,0,0,1,0,0
karlmurphy1,3,0,0,0,1,0,0
barnaby221,3,1,0,0.1,1,0,0
prasit911,3,1,0,0.07,1,0,1
tanmayyyyyy,3,3,0.14,0.1,1,0,0.23
tygrazius,3,2,0,0,1,0,1
ssvetasvetova,5,0,0,0,1,0,0
lockedech,3,4,0.29,0.11,0,0,0.32
earthbasedsoul,6,1,0.64,0.13,1,0,0
vanolindaylcyrilsa,9,1,0,0,1,0,0
katnvz,2,0,0,0,1,0,0
sieyuagmail,4,NA,0,0,1,0,1
versatile8463,3,0,0.25,0,1,0,1
anhsojack,4,4,0,0.21,0,0,0
yournian,2,2,0.2,0,0,0,0.64
toshibss,1,1,0.09,0.1,1,0,0
annie2202,2,0,0,0.1,1,0,0
simsmono-a81c,5,4,0.2,0,1,0,0.5
mrbeygi,2,3,0,0.11,1,0,0.75
jidhingit,3,0,0,0.11,1,0,0
rpaplee,1,4,0.07,0.08,1,0,0
paplee,1,4,0.07,0.1,0,0,0.53
anttrade,1,0,0,0.1,1,0,0
leehualin,3,3,0.25,0.15,1,0,1
usedepend1944,6,1,0,0.16,1,0,0.14
duong2024,1,2,0.2,0.08,0,0,0.07
littlemoneyboss,5,2,0,0,1,0,0
abiqasglobal,4,3,0,0.1,0,0,0.75
omotolat,3,4,0.23,0.26,0,0,0.84
aug335,2,0,0,0,1,0,1
naahilduimka,5,0,0,0,1,0,0.67
yinpinxuan,4,1,0,0.15,1,0,0
undersky0108,5,1,0.06,0.08,1,0,1
veron2022,2,0,0,0,1,0,1
yenkaihuang,3,2,0,0.15,0,0,0
trooperisme,4,2,0.44,0.07,0,0,0
alie121,2,3,0.05,0.1,0,0,0.09
l0619,2,4,0,0.1,1,0,1
uranusus1,1,3,0.09,0.15,1,0,0
17161412,3,2,0.36,0.1,1,0,0.75
kopio5feo,5,4,0.29,0,1,0,0.33
abubaker1234,4,1,0.28,0,1,0,0
santiago-nick,4,1,0.12,0,1,0,0
billygin1,3,0,0,0,1,0,0
thuc715,2,1,0,0.11,1,0,0
nksb4041,3,0,0.11,0,0,0,0.67
isofraj,3,3,0.11,0.11,0,0,1
carrollbeaudoin371,9,2,0,0,1,0,0.5
lu-1212,3,1,0.11,0,1,0,1
rajlaskar1,3,2,0.08,0.1,0,0,0
yusufmiaa,2,3,0.21,0.1,0,0,0.6
chukwuebooka,3,4,0,0.29,1,0,1
nufoy,2,3,0.05,0.08,0,0,1
jeckmint,3,1,0.24,0.13,0,0,0
nnwef9120,4,1,0,0,1,0,1
social34,2,4,0.15,0.21,0,0,0.83
lebrownie,2,4,0.23,0.08,1,0,0.65
rijulraj456,5,3,0.28,0.08,0,0,0
0xanothermike,5,2,0.24,0.25,1,0,0
tbrownie76,2,0,0.15,0,1,0,0.33
meetungandboy,6,1,0,0.03,1,0,1
dgango007,2,3,0,0.1,1,0,0
2tay2sungak,6,3,0,0.08,0.04,0,0.47
sergiom199,1,3,0.14,0.11,0,0,0
enzo7109,2,3,0,0.23,0,0,0.91
sky1976gmail,4,NA,0,0,1,0,1
cp0x38,2,3,0,0,0,0,1
heyx10,2,0,0.28,0,0,0,0.4
jordanlyall,3,4,0.38,0.46,0,0,0
jolinloveme2,5,3,0,0.08,1,0,0
frank343,2,1,0.52,0,0,0,0.23
edisonchen1559,4,3,0,0.08,1,0,0
dliuyyds,2,3,0,0.23,1,0,0.75
rateproperly1601,7,0,0,0.16,1,0,0.12
tdduncan1997,4,3,0,0.08,1,0,0
judgeb,2,NA,0,0,1,0,1
justin130smith,5,2,0.23,0,0,0,0.2
tisalovet,3,0,0,0,1,0,0
dirtyoyl,3,0,0,0,1,0,0.36
keegreil,3,0,0,0.1,0,0,0
frogtdogt,2,0,0,0,1,0,0
apromoter,2,4,0.17,0.13,0,0,0.89
alienray123,3,3,0,0.08,1,0,0
munfred,2,0,0.17,0.07,0,1,0.38
keehan92,2,2,0.25,0.25,0,0,0
crlo1275,3,0,0.2,0,0,0,0.2
anthotovar24,5,4,0.23,0.34,0,0,0.05
pawan20028124,4,3,0.1,0.1,0,0,0
kanskey,1,2,0.08,0,0,0,0.13
maxlevush-coinside,8,2,0.14,0,0,0,0
ls379,2,0,0,0,0,1,0.17
bdapv1,2,4,0.36,0,0,0,0.18
caozdemengyi,5,3,0,0.08,1,0,0
silkroad7,3,1,0,0,0,0,0
supers666,3,0,0,0,1,0,1
dobbyisfreee,5,1,0,0.1,1,0,0
hor4210,2,0,0,0,1,0,1
testevgen,3,3,0.32,0.28,1,0,0
gk017362,4,4,0,0.08,1,0,0
rabbithk2891,5,2,0.45,0.11,1,0,0.37
shivamsdhn,3,3,0.2,0.2,0,0,0
gorrozorro,4,0,0,0,1,0,0
bdrqf13114,5,2,0,0.1,1,0,0
elsaicequeen,5,3,0.33,0.23,0,0,0
nymlynx,2,3,0,0,0,0,0.8
gzh66,2,4,0.06,0.26,1,0,1
sleepysajid,3,2,0,0,0,0,0
hamedhampop332,7,2,0.25,0.1,1,0,0
liangting12333,3,4,0.18,0.08,1,0,0
mumswhocodeng,6,NA,0,0,1,0,1
fyoat349,3,0,0,0,1,0,1
armanderete,3,1,0.62,0.1,0,1,0
solmanju2,3,0,0.46,0,1,0,0
qingwang2,1,4,0.19,0.1,0,0,0.11
jhonleon1159,5,4,0,0.08,1,0,0
boyan6889,3,4,0.19,0.1,1,0,0.67
lovestory1314,5,4,0.1,0,1,0,1
index-index,3,3,0,0,1,0,1
jhjhdfqq,4,1,0,0,1,0,1
code9ne,2,3,0.4,0.11,0,0,0.62
rigime,1,4,0,0.06,1,0,0
carpgoth,2,3,0.18,0,0,0,0
gwintery,2,3,0.54,0.03,0,0,0
ajol76,2,3,0.25,0,1,0,0
anhfactor,2,2,0,0.18,0,0,0.01
goldenew02,2,2,0.2,0.13,1,0,0
chaieryi,3,2,0.06,0,1,0,0.43
brungilda1,3,1,0,0.08,1,0,0.5
milanchavda7,5,2,0,0.11,1,0,0
liuyuayua,3,1,0,0.15,1,0,1
sqm114,2,1,0.04,0.1,1,0,1
jimmy-creator,4,4,0,0.11,0,0,0.06
wudingroad1145,7,0,0.5,0,0,0,0
skyforthdoteth,5,4,0.61,0.18,1,0,0
abovemuch6487,7,0,0,0.16,1,0,0.14
haohao168dao,5,2,0.62,0.1,1,0,0.5
jackjoke1,3,0,0,0,1,0,0.5
blagost-trade,6,3,0.17,0,1,0,0.5
nicknichols1,4,0,0,0,1,0,0
austinambur,4,0,0,0,1,0,0
zhenyabug,3,0,0,0,1,0,0
michaelandreevich,6,0,0,0,1,0,0
nicholasdonskoy,3,0,0,0,1,0,0
alexeimaltster,5,0,0,0,1,0,0
swadesh1234,3,3,0.21,0.1,0,0,0.08
michaelkobilyan,4,0,0,0,1,0,0
blablabla3,2,0,0,0,1,0,0
evgeniypopov1,4,0,0,0,1,0,0
new-yorkc,3,4,0.22,0.23,1,0,0
cordelldanna,4,2,0,0.07,1,0,0
domoto99,3,1,0,0,1,0,1
newho17,2,1,0,0.16,1,0,0
ovify,2,0,0,0.05,1,0,1
maulikdhandha,5,NA,0,0,1,0,0
szawr1,2,2,0,0,1,0,0
ridaan354,3,1,0,0,0,0,0
tabitha0202,3,2,0.07,0,1,0,1
mandervill,3,2,0.3,0.03,1,0,0.67
yosiyosiyo,2,2,0.27,0.11,1,0,0
lianjen,2,2,0.29,0.15,1,0,0
assim140pkl,1,1,0,0,1,0,1
hulberts00,3,2,0,0,1,0,1
xinjiapo29,1,0,0,0,1,0,0
iou76,1,1,0,0.07,1,0,0
dqiyyds,1,3,0,0.25,1,0,0.8
ninazerber,4,1,0,0.07,1,0,0.33
didcollector,3,2,0,0,1,0,1
approximately1384,2,0,0.31,0,1,0,1
6tomato,2,3,0.06,0,0,0,0.61
conixia,2,1,0,0,0,0,0.03
benjix21,2,4,0.4,0,0,0,0
65733272,1,4,0.14,0.29,1,0,0
kylezandi,3,4,0.29,0.23,1,0,0.5
gp1987co,4,2,0,0.11,1,0,0
hdchavda,3,3,0.08,0.2,1,0,0.5
cdpiano,2,3,0.12,0.29,0,0,0.5
cryptomde,1,3,0.44,0.21,1,0,0
redvineblaze,5,3,0.24,0.06,1,0,0
linxiaoyin7045,5,4,0,0.31,1,0,0.8
alexfreroti,4,1,0,0.1,1,0,1
miritako,2,1,0,0.18,0,0,0
argum007,2,0,0,0,1,0,0
lavisl11231,4,4,0,0.08,1,0,0
hai111567,3,2,0.17,0.21,1,0,1
muyangok,1,3,0,0.04,1,0,0.75
lenka8671,3,0,0,0.06,1,0,0
xinjiapo24,1,0,0,0,1,0,0
loplomali,3,1,0,0,1,0,1
amrskhader,3,0,0,0,1,0,0
clare190,3,0,0,0,1,0,1
zerbernat,3,1,0,0.08,1,0,0.2
assim139pkl,1,1,0,0,1,0,0
fooooooooooox,3,NA,0.33,0,0,0,1
panxiaofeng7815,5,4,0.37,0,1,0,0.89
bankshelby,3,1,0,0.2,1,0,0
jiangleed,2,3,0.25,0.16,1,0,1
wojtek434,1,1,0.35,0.11,1,0,0
excellentcheepc,5,3,0.04,0.1,0,0,1
phankhanh0893,5,1,0.11,0.15,0,0,0.03
zzzrs123,3,3,0.24,0.06,0,0,0.56
xule83415,4,0,0,0,0.02,0,0.2
xiantao95116,4,0,0,0,0.02,0,0
yanjia99715,4,0,0,0,0.02,0,0
youan78116,4,0,0,0,0.02,0,0.2
mingtun84513,4,0,0,0,0.02,0,0
linchui82713,5,0,0,0,0.02,0,0
dongwei74919,5,0,0,0,0.02,0,0
ruancang67611,5,0,0,0,0.02,0,0
niuqiang79912,5,0,0,0,0.02,0,0
xiangsi30662,4,0,0,0,0.02,0,0
xenia210,2,NA,0,0,1,0,1
